Tipo,Marca,Nombre,Referencia,Categoria,Descripcion,Precio total,Imagenes
Producto,Boost,INTEGRA MED 4G 55%,,HERRAMIENTAS,"Regulador de humedad relativa para tus flores o hierba, este producto brinda un excelente curado y mantenimiento de nuestra hierba, evitando que se seque demasiado o viceversa.
Este sobre de 4gr alcanza para un frasco o contenedor con hasta 14gr de flores, es muy efectivo y ayuda grandemente al mantenimiento del sabor y las cualidades basicas de nuestro producto.
El integra boost viene con un practico indicador para cambiar el sobre cuando su funcionamiento termina.",600,
Producto,Boost,INTEGRA MED 67G 55%,,HERRAMIENTAS,STOCKA,2300,
Producto,Lixiviado,LIXIVIADO DORADO (200 ML),54154684654165,FERTILIZANTES,STOCKA,1200.01,
Producto,Lupa,LUPA 22MM 45X LED GALILEO 4522,7595132454656,HERRAMIENTAS,STOCKA,3500,
Producto,Mamboreta,MAMBORETA FOLI 30CC,654765176187461545,PESTICIDA,STOCKA,2000,
Producto,Canuto,CARTAS CANUTO,,PARAFERNALIA,STOCKA,1000,
Producto,Canuto,FILTRO CANUTO,7789756421314654,FERTILIZANTES,STOCKA,300,
Producto,Zeus,SEDAS ZEUS CELULOSA KING SIZE,,FERTILIZANTES,STOCKA,500,
Producto,Zeus,CELULOSA ZEUS KING SIZE,,PARAFERNALIA,STOCKA,500,
Producto,Raw,RAW SEDAS KS,,PARAFERNALIA,STOCKA,350,
Producto,Raw,RAW TIPS FILTROS,,PARAFERNALIA,STOCKA,350,
Producto,Top Crop,TOP CROP AUTO 250ML,SKU: 53114651456146,FERTILIZANTES,STOCKA,2500.01,
Producto,Top Crop,TOP CROP BARRIER BIOPROTECTOR 100ML,SKU: 456651465464,PESTICIDA,STOCKA,749.99,
Producto,Top Crop,TOP CROP BIG ONE BIOESTIMULANTE 250ML,,BIOESTIMULANTE,STOCKA,4000.01,
Producto,Top Crop,TOP CROP BUD 100ML,,BIOESTIMULANTE,STOCKA,3300,
Producto,Top Crop,TOP CROP CALMAG 250ML,,FERTILIZANTES,STOCKA,1420,
Producto,Revienta,REVIENTA COGOLLOS 9.5 500ML,,FERTILIZANTES,STOCKA,11250,
Producto,Revienta,REVIENTA ESQUEJES 30ML,,FERTILIZANTES,STOCKA,1800,
Producto,Revienta,REVIENTA PH - 200ML,SKU: DOF-7798376340549,FERTILIZANTES,STOCKA,1420,
Producto,Revienta,REVIENTA ESQUEJES 50ML,SKU: DOF-567496465465465,FERTILIZANTES,STOCKA,2699.99,
Producto,Mantra,MANTRA AGUA DE PERRO 250ML,,FERTILIZANTES,STOCKA,1750,
Producto,Mantra,MANTRA ALGAFISHUM NODOSUM ORGANICO 250ML,,FERTILIZANTES,STOCKA,2100,
Producto,Mantra,MANTRA DYNAMITE ORG 250ML,,FERTILIZANTES,STOCKA,1750,
Producto,Mantra,MANTRA EL TOQUE FINAL 250ML,,FERTILIZANTES,STOCKA,1750,
Producto,Mantra,MANTRA FLOR DE AUTO 250ML,,FERTILIZANTES,STOCKA,1750,
Producto,Mantra,MANTRA LECHE DE HUESOS 250ML,,FERTILIZANTES,STOCKA,1750,
Producto,Mantra,MANTRA NITRO MONSTRUOSO 250ML,,FERTILIZANTES,STOCKA,1750,
Producto,Mantra,MANTRA NITRO MONSTRUOSO ORG 250ML,,FERTILIZANTES,STOCKA,1750,
Producto,Mantra,MANTRA PH- 250 ML,,FERTILIZANTES,STOCKA,1300,
Producto,Mantra,MANTRA SUGAR CANDY 250 ML,,FERTILIZANTES,STOCKA,1750,
Producto,Namaste,NAMASTE AMAZONIA 150GR,,FERTILIZANTES,STOCKA,1800,
Producto,Namaste,NAMASTE AMAZONIA 300GR,,FERTILIZANTES,STOCKA,3300,
Producto,Namaste,NAMASTE BIOPROTECT 100ML,,FERTILIZANTES,STOCKA,1200.01,
Producto,Namaste,NAMASTE DETOX 500ML,,FERTILIZANTES,STOCKA,1200.01,
Producto,Namaste,NAMASTE ORO NEGRO 100ML,,FERTILIZANTES,STOCKA,1000,
Producto,Namaste,NAMASTE ORO NEGRO 500ML,,FERTILIZANTES,STOCKA,2200,
Producto,Namaste,NAMASTE PH - 100ML,,FERTILIZANTES,STOCKA,650,
Producto,Namaste,NAMASTE SHANTI 100ML,,FERTILIZANTES,STOCKA,1650,
Producto,Namaste,NAMASTE SHANTI 500ML,,BIOESTIMULANTE,STOCKA,3500,
Producto,Namaste,NAMASTE TRICO + 250GR,,FERTILIZANTES,STOCKA,1399.99,
Producto,Feeding,FEEDING GROW 125GR,DOF-8717729828908,FERTILIZANTES,STOCKA,4300,
Producto,Grotek,GROTEK MONSTER GROW PRO 130GR,5761454765876,FERTILIZANTES,STOCKA,4700,
Producto,Lion Circus,LYON HEMP WRAP TERPENES GELATO,,PARAFERNALIA,STOCKA,800,
Producto,Feeding,GREEN HOUSE FEEDING HYBRIDS ALL IN ONE 500GR,,FERTILIZANTES,STOCKA,12000,
Producto,Raw,BANDEJAS RAW 28CMX17CM,,PARAFERNALIA,STOCKA,5000,
Producto,Grotek,GROTEK SOLO TECK BLOOM 500ML,,FERTILIZANTES,STOCKA,8300,
Producto,Grotek,GROTEK BUD FUEL PRO 500ML,,FERTILIZANTES,STOCKA,10000,
Producto,Grotek,GROTEK HEAVY BUD PRO 500ML,,FERTILIZANTES,STOCKA,10000,
Producto,Smonkey,Tutores,,HERRAMIENTAS,STOCKA,100,
Producto,TerraFertil,TERRA FERTIL TIERRA LOMBRI 5L,,HERRAMIENTAS,STOCKA,900,
Producto,Smonkey,BUZOS,,PARAFERNALIA,STOCKA,20000,
